ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotalLabel,YearTotal,TrafficCountTotal
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,7,"58,128",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,8,"51,981",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,9,"56,733",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,10,"60,392",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,11,"34,442",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,12,"17,787",Arches NP,ARCH,National Park,Intermountain ,Total Vehicles entering Park,2022,"550,269"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,1,"2,914",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,2,"2,800",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,3,"4,123",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,4,"6,391",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,5,"14,659",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,6,"22,289",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,7,"23,002",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,8,"20,285",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,9,"17,662",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,10,"8,899",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,11,"3,995",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,12,"2,358",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT INTERIOR ENTRANCE (2602),2022,"129,377"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2022,1,"3,116",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2022,"164,063"
Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2022,2,"3,073",Badlands NP,BADL,National Park,Midwest ,TOTAL TRAFFIC COUNT AT NORTHEAST ENTRANCE (2601),2022,"164,063"
